sentence,entities,entities_spans,label
These researchers noticed a genetic variation in some KURU PATIENTS that has been known to promote long INCUBATION PERIODS.,"[('INCUBATION PERIODS', 'DISE'), ('KURU PATIENTS', 'DRUG')]","[(104, 122, 'DISE'), (54, 67, 'DRUG')]",0
"In four patients, thrombosis occurred 2-45 days after severe hepatic veno-occlusive disease (HVOD) secondary to intensive chemotherapy containing busulfan.","[('busulfan', 'DRUG'), ('thrombosis', 'DISE')]","[(146, 154, 'DRUG'), (18, 28, 'DISE')]",1
A clinical comparison between glipizide (Glibenese �����?��??����?��?�鰹?��???��GLIBENCLAMIDEnclamide (Daonil �����?��??����?��?�鰹?��???�������?����??n tMATURITY ONSET DIABETESy onset diabetes: a controlled double-blind cross-over study,"[('MATURITY ONSET DIABETES', 'DISE'), ('GLIBENCLAMIDE', 'SYMP')]","[(105, 128, 'DISE'), (59, 72, 'SYMP')]",0
High grade lymphomas were classified in three groups based on the presence or absence of a low grade component and LYMPHOEPITHELIAL LESIONS (LELs): 1) high grade MALT lymphomas appearing in low grade MALT LYMPHOMAS (LG/HG MALT lymphoma); 2) large cell lymphoma with LELs composed of large cells (high grade LELs) but without a low grade component (HG MALT lymphoma); and 3) diffuse large cell lymphoma without a low grade MALT lymphoma component or LELs (DLCL.,"[('LYMPHOEPITHELIAL LESIONS', 'DISE'), ('MALT LYMPHOMAS', 'SYMP')]","[(115, 139, 'DISE'), (200, 214, 'SYMP')]",1
instillation of therapeutically safe doses of BUPIVACAINE was without effect in the magement of PAIN postoperative pulmory dysfunction and the stress response in this group of patients.,"[('PAIN', 'DISE'), ('BUPIVACAINE', 'DRUG')]","[(98, 102, 'DISE'), (46, 57, 'DRUG')]",2
Restorative proctocolectomy with ileal pouch-al astomosis has become the surgical treatment of choice for patients with medically refractory ulcerative colitis or ulcerative colitis with DYSPLASIA and for the majority of patients with FAMILIAL ADENOMATOUS POLYPOSIS,"[('DYSPLASIA', 'DISE'), ('FAMILIAL ADENOMATOUS POLYPOSIS', 'DRUG')]","[(191, 200, 'DISE'), (239, 277, 'DRUG')]",0
Pulmonary edema as a delayed complication of ritodrine therapy.,"[('ritodrine', 'DRUG'), ('Pulmonary edema', 'DISE')]","[(45, 54, 'DRUG'), (0, 15, 'DISE')]",1
"Of the 2,585 men, 24 (0.93%) were positive for HBSAG indicating that HEPATITIS B INFECTION in the target group was below the intermediate endemicity.","[('HEPATITIS B INFECTION', 'DISE'), ('HBSAG', 'SYMP')]","[(69, 90, 'DISE'), (47, 52, 'SYMP')]",1
"CONCLUSION: A 37-year-old African- American man with G6PD deficiency developed hemolytic anemia, hepatitis, orthostatic hypotension, and aseptic meningitis simultaneously after using trimethoprim-sulfamethoxazole.","[('sulfamethoxazole', 'DRUG'), ('hemolytic anemia', 'DISE')]","[(196, 212, 'DRUG'), (79, 95, 'DISE')]",1
Atypical ventricular tachycardia (torsade de pointes) induced by amiodarone: arrhythmia previously induced by quinidine and disopyramide.,"[('quinidine', 'DRUG'), ('arrhythmia', 'DISE')]","[(110, 119, 'DRUG'), (77, 87, 'DISE')]",1
edit Infranuclear lesions edit Bell's palsy  BELL'S PALSY is the most common cause of ACUTE FACIAL NERVE PARALYSIS,"[('ACUTE FACIAL NERVE PARALYSIS', 'DISE'), (""BELL'S PALSY"", 'DRUG')]","[(86, 118, 'DISE'), (45, 57, 'DRUG')]",0
ALUMINUM INTOXICATION is common in patients with chronic rel failure because of absorption of aluminum during dialysis from ALUMINUM containing dyalysate water and ingestion of phosphate binders containing aluminum.,"[('ALUMINUM INTOXICATION', 'DISE'), ('ALUMINUM', 'SYMP')]","[(0, 21, 'DISE'), (0, 7, 'SYMP')]",1
".0035) and positively associated with neutropenia, and negatively associated with LEUKOCYTOSIS and NEUTROPHILIA","[('LEUKOCYTOSIS', 'DISE'), ('NEUTROPHILIA', 'DRUG')]","[(82, 94, 'DISE'), (99, 119, 'DRUG')]",0
TREATMENT: Drugs such as clomipramine and FLUOXETINE have been used to treat OCD,"[('OCD', 'DISE'), ('FLUOXETINE', 'DRUG')]","[(77, 87, 'DISE'), (42, 52, 'DRUG')]",2
"Because of the extreme sensitivity of the thyroid gland in children, there is a risk OF RADIATION INDUCED THYROID CANCER EVEN WHEN THE THYROID GLAND IS OUTSIDE OF the irradiated field.","[('EVEN WHEN THE THYROID GLAND IS OUTSIDE OF', 'DISE'), ('OF RADIATION INDUCED THYROID CANCER', 'DRUG')]","[(121, 162, 'DISE'), (85, 120, 'DRUG')]",0
PURPOSE: To report a case of bilateral anterior uveitis associated with ovulation induction therapy using clomiphene citrate.,"[('clomiphene citrate', 'DRUG'), ('bilateral anterior uveitis', 'DISE')]","[(106, 124, 'DRUG'), (29, 55, 'DISE')]",1
PURPOSE: We studied a case of vortex keratopathy that was associated with the use of atovaquone.,"[('atovaquone', 'DRUG'), ('vortex keratopathy', 'DISE')]","[(85, 95, 'DRUG'), (30, 48, 'DISE')]",1
The association of phenothiazine overdose and respiratory distress syndrome merits consideration.,"[('phenothiazine', 'DRUG'), ('respiratory distress syndrome', 'DISE')]","[(19, 32, 'DRUG'), (46, 75, 'DISE')]",1
However some studies have shown that the combition of METHOTREXATE and leflunomide in patients with RHEUMATOID ARTHRITIS gave better results than either drug alone.,"[('RHEUMATOID ARTHRITIS', 'DISE'), ('METHOTREXATE', 'DRUG')]","[(102, 122, 'DISE'), (56, 68, 'DRUG')]",2
"Ratiole: ? Adequate control of THROMBOCYTOSIS in high-risk patients with ESSENTIAL THROMBOCYTHEMIA, a closely related myeloproliferative disorder, has been associated with a lower risk of thrombosis","[('THROMBOCYTOSIS', 'DISE'), ('ESSENTIAL THROMBOCYTHEMIA', 'SYMP')]","[(33, 47, 'DISE'), (75, 100, 'SYMP')]",1
Acute hepatic failure is a rare and potentially lethal complication of propylthiouracil (PTU) use for hyperthyroidism.,"[('PTU', 'DRUG'), ('Acute hepatic failure', 'DISE')]","[(89, 92, 'DRUG'), (0, 21, 'DISE')]",1
A variety of liver diseases including CHRONIC HEPATITIS and cirrhosis were seen in the LIVERS of a majority of the ducks from Chi tung.,"[('LIVERS', 'DISE'), ('CHRONIC HEPATITIS', 'DRUG')]","[(87, 93, 'DISE'), (38, 55, 'DRUG')]",0
Subsequent TENDON RUPTURE was minimal and even TENDONS found to be thinned out at the time of surgery remained intact.,"[('TENDONS', 'DISE'), ('TENDON RUPTURE', 'DRUG')]","[(47, 54, 'DISE'), (11, 25, 'DRUG')]",0
"A child in whom a phenobarbital hypersensitivity drug reaction developed which consisted of fever, a pruritic desquamating erythrodermic rash, alopecia, icterus, protein-losing enteropathy, myositis, and nephritis, is described.","[('phenobarbital', 'DRUG'), ('alopecia', 'DISE')]","[(18, 31, 'DRUG'), (143, 151, 'DISE')]",1
"Heinonen T, Stein E, Issacsohn J, et alATORVASTATIN in the treatment of severe HYPERCHOLESTEROLEMIA","[('HYPERCHOLESTEROLEMIA', 'DISE'), ('ATORVASTATIN', 'DRUG')]","[(79, 106, 'DISE'), (39, 51, 'DRUG')]",2
Anthrax  Altertive for postexposure prophylaxis following suspected or confirmed exposure to aerosolized ANTHRAX spores (INHALATIOL ANTHRAX)   +    when oral ciprofloxacin and oral doxycycline are uvailable.,"[('INHALATIOL ANTHRAX', 'DISE'), ('ANTHRAX', 'DRUG')]","[(123, 143, 'DISE'), (107, 114, 'DRUG')]",0
Antithyroid treatment with propylthiouracil (PTU) resulted in elevated hepatic enzymes and after the 12th week of pregnancy treatment was changed to carbimazole (CBZ).,"[('propylthiouracil', 'DRUG'), ('elevated hepatic enzymes', 'DISE')]","[(27, 43, 'DRUG'), (62, 86, 'DISE')]",1
"Abstract  November 2010  7 Infectious Disease  XVIII Infective Endocarditis  ELIZABETH G. BEL, MD, FACP President, Brigham and Women's Hospital, Professor of Medicine, Harvard Medical School, Boston, MA  INFECTIVE ENDOCARDITIS is a microbial infection of a cardiac valve or the mural endocardium caused by BACTERIA or fungi.","[('INFECTIVE ENDOCARDITIS', 'DISE'), ('BACTERIA', 'SYMP')]","[(206, 228, 'DISE'), (308, 316, 'SYMP')]",1
"While doxorubicin was administered, the patient presented thoracic pain and breathing distress due to superior vena cava perforation by the central catheter and subsequent extravasation of the drug into the mediastinum.","[('doxorubicin', 'DRUG'), ('thoracic pain', 'DISE')]","[(6, 17, 'DRUG'), (58, 71, 'DISE')]",1
"• FEVER and neurologic impairment are found in TTP which is characterized by thrombocytopenia, microangiopathic hemolytic anemia, and rel failure.","[('FEVER', 'DISE'), ('TTP', 'SYMP')]","[(2, 7, 'DISE'), (47, 50, 'SYMP')]",1
It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,"[('JOINTS', 'DISE'), ('OSTEOARTHRITIS', 'DRUG')]","[(20, 26, 'DISE'), (103, 125, 'DRUG')]",0
5-fluorouracil (5-FU)-associated peripheral neuropathy is an uncommon event.,"[('5-FU', 'DRUG'), ('peripheral neuropathy', 'DISE')]","[(16, 20, 'DRUG'), (33, 54, 'DISE')]",1
We report a case of a 68 years old male patient treated for CHRONIC LYMPHOCYTIC LEUKAEMIA presenting a right INGUINO CRURAL TENDER LYMPHADENOPATHY WITH PERIADENITIS.,"[('INGUINO CRURAL TENDER LYMPHADENOPATHY WITH PERIADENITIS', 'DISE'), ('CHRONIC LYMPHOCYTIC LEUKAEMIA', 'SYMP')]","[(109, 163, 'DISE'), (60, 89, 'SYMP')]",1
METHODS: Repeated blood samples were drawn in a patient with severe acyclovir overdose who developed coma and nonoliguric renal failure.,"[('acyclovir', 'DRUG'), ('coma', 'DISE')]","[(68, 77, 'DRUG'), (101, 105, 'DISE')]",1
"Other ECG effects include a wide notched P wave, WIDE QRS COMPLEX depressed ST segment, and U waves.","[('WIDE QRS COMPLEX', 'DISE'), ('ECG', 'SYMP')]","[(49, 65, 'DISE'), (6, 9, 'SYMP')]",1
Hypokalemia after normal doses of neubulized albuterol (salbutamol).,"[('salbutamol', 'DRUG'), ('Hypokalemia', 'DISE')]","[(56, 66, 'DRUG'), (0, 11, 'DISE')]",1
"All patients had GASTROINTESTIL TRACT symptoms, with 30 patients (91%) complaining of DIARRHEA and 23 patients (70%) complaining of vomiting; these symptoms occurred early in the disease and were of short duration.","[('GASTROINTESTIL TRACT', 'DISE'), ('DIARRHEA', 'DRUG')]","[(17, 39, 'DISE'), (88, 96, 'DRUG')]",0
"In this case, unlike those previously reported, hyponatremia recurred 5 months after switching from citalopram to mirtazapine, which is believed to be a safe antidepressant.","[('mirtazapine', 'DRUG'), ('hyponatremia', 'DISE')]","[(114, 125, 'DRUG'), (48, 60, 'DISE')]",1
"Ginkgo biloba has long been used in ancient China for the treatment of cough, asthma, and other lung diseases.","[('Ginkgo biloba', 'FOOD'), ('cough', 'DISE')]","[(0, 13, 'FOOD'), (71, 76, 'DISE')]",2
"1]  Kuf H, Mutschler E. Diuretic effectiveness of hydrochlorothiazide and FUROSEMIDE alone and in combition in CHRONIC REL FAILURE","[('CHRONIC REL FAILURE', 'DISE'), ('FUROSEMIDE', 'SYMP')]","[(115, 136, 'DISE'), (76, 86, 'SYMP')]",0
"Hehlman R, Heimpel H, Hasford J et al. Randomized comparison of BUSULFAN and hydroxyurea in CHRONIC MYELOGENOUS LEUKEMIA: prolongation of survival by hydroxyurea","[('CHRONIC MYELOGENOUS LEUKEMIA', 'DISE'), ('BUSULFAN', 'DRUG')]","[(92, 120, 'DISE'), (64, 72, 'DRUG')]",2
Ambulatory monitoring of blood pressure might allow for differentiation of patients with TRANSIENT ELEVATED BLOOD PRESSURE from those with more sustained HYPERTENSION,"[('TRANSIENT ELEVATED BLOOD PRESSURE', 'DISE'), ('HYPERTENSION', 'DRUG')]","[(89, 122, 'DISE'), (154, 174, 'DRUG')]",0
"Atypical hemolytic uremic syndrome is a disease that is characterized by MICROANGIOPATHIC HEMOLYTIC ANEMIA, THROMBOCYTOPENIA, and acute rel failure","[('THROMBOCYTOPENIA', 'DISE'), ('MICROANGIOPATHIC HEMOLYTIC ANEMIA', 'DRUG')]","[(108, 124, 'DISE'), (73, 106, 'DRUG')]",0
"Here, we identified Z-ajoene, a sulfur containing compound isolated from crushed garlic, as an inhibitor of colon cancer cell growth.","[('crushed garlic', 'FOOD'), ('colon cancer', 'DISE')]","[(73, 87, 'FOOD'), (108, 120, 'DISE')]",2
Evidence: • Unexplained SHORT STATURE in 2% to 8% of children presenting to a growth failure clinic is associated with CELIAC DISEASE when either antiendomysial antibody or duodel biopsy is used to test for the disease ( 33 ;  62.,"[('SHORT STATURE', 'DISE'), ('CELIAC DISEASE', 'DRUG')]","[(24, 37, 'DISE'), (119, 133, 'DRUG')]",0
"Hallerback B, Unge P, Carling L et alOMEPRAZOLE or ranitidine in long term treatment of REFLUX ESOPHAGITIS","[('REFLUX ESOPHAGITIS', 'DISE'), ('OMEPRAZOLE', 'DRUG')]","[(88, 113, 'DISE'), (37, 47, 'DRUG')]",2
Deficiency of vitamin B12 is a well known cause of MEGALOBLASTIC ANEMIA and PANCYTOPENIA,"[('PANCYTOPENIA', 'DISE'), ('MEGALOBLASTIC ANEMIA', 'DRUG')]","[(76, 96, 'DISE'), (51, 71, 'DRUG')]",0
1994 10 28  Transvagil intra amniotic injection of METHOTREXATE in early ECTOPIC PREGNCY,"[('ECTOPIC PREGNCY', 'DISE'), ('METHOTREXATE', 'DRUG')]","[(75, 99, 'DISE'), (53, 65, 'DRUG')]",2
"Reflux of infected urine into the rel pelvis or presence of infected urine behind an obstruction can lead to chronic pyelonephritis, rel scarring, poor KIDNEY growth, and REL FAILURE","[('KIDNEY', 'DISE'), ('REL FAILURE', 'DRUG')]","[(156, 162, 'DISE'), (175, 196, 'DRUG')]",0
"However, HAM/TSP is a relatively rare complication of HTLV 1 with an incidence roughly comparable to that of adult T cell leukemia, another rare condition associated with HTLV 1.","[('HAM/TSP', 'DISE'), ('HTLV 1', 'SYMP')]","[(9, 16, 'DISE'), (54, 60, 'SYMP')]",1
"33  Epidermolysis Bullosa  RECESSIVE DYSTROPHIC EPIDERMOLYSIS BULLOSA is a congenital bullous disease with recurrent BLISTERING and scarring, particularly on the hands and feet  see 2:IX Vesiculobullous Diseases.","[('BLISTERING', 'DISE'), ('RECESSIVE DYSTROPHIC EPIDERMOLYSIS BULLOSA', 'DRUG')]","[(117, 127, 'DISE'), (27, 69, 'DRUG')]",0
"Immigrants from Poland, the Goldblatt family ran a GROCERY STORE and BUTCHER SHOP on Chicago's west side.","[('BUTCHER SHOP', 'DISE'), ('GROCERY STORE', 'DRUG')]","[(69, 81, 'DISE'), (51, 64, 'DRUG')]",0
Ratiole: • Epidemiologic studies clearly suggest that ASBESTOSIS develops after significant and heavy exposure to ASBESTOS FIBERS,"[('ASBESTOSIS', 'DISE'), ('ASBESTOS FIBERS', 'SYMP')]","[(56, 66, 'DISE'), (116, 131, 'SYMP')]",1
Joubert syndrome is one of the many GENETIC SYNDROMES associated with SYNDROMIC RETINITIS PIGMENTOSA,"[('SYNDROMIC RETINITIS PIGMENTOSA', 'DISE'), ('GENETIC SYNDROMES', 'DRUG')]","[(70, 108, 'DISE'), (36, 53, 'DRUG')]",0
"She presented in 1982 with a BREAST MASS that mimicked CARCINOMA on physical examition and mammograms, but excisiol biopsy and histologic examition revealed a breast abscess that contained caseous material and a solitary acid-fast bacillus","[('BREAST MASS', 'DISE'), ('CARCINOMA', 'SYMP')]","[(29, 40, 'DISE'), (55, 64, 'SYMP')]",1
CLONUS appearing after ingesting potent SEROTONERGIC DRUGS strongly predicts imminent serotonin toxicity .,"[('CLONUS', 'DISE'), ('SEROTONERGIC DRUGS', 'SYMP')]","[(0, 6, 'DISE'), (40, 58, 'SYMP')]",1
C  Specific recommendation: • Inform patients that many different systemic symptoms may herald the onset of RECURRENT TTP such as: ◊ Weakness ◊ CONFUSION ◊ Severe headaches ◊ Gastrointestil symptoms ◊ Chest pain ◊ Dyspnea ◊ Bruising or excessive bleeding.,"[('CONFUSION', 'DISE'), ('RECURRENT TTP', 'DRUG')]","[(144, 153, 'DISE'), (108, 121, 'DRUG')]",0
"SEE:   liver    liver transplantation    The surgical implantation of a donor liver into a patient with END STAGE LIVER DISEASE whether it is caused by ALCOHOLIC CIRRHOSIS chronic cholestatic diseases, chronic or fulmint hepatitis, or toxic liver destruction.","[('END STAGE LIVER DISEASE', 'DISE'), ('ALCOHOLIC CIRRHOSIS', 'DRUG')]","[(104, 127, 'DISE'), (152, 171, 'DRUG')]",0
"Similar LYMPHADENOPATHY can result from INFECTIOUS MONONUCLEOSIS toxoplasmosis, cytomegalovirus, non Hodgkin lymphoma, or leukemia.","[('LYMPHADENOPATHY', 'DISE'), ('INFECTIOUS MONONUCLEOSIS', 'SYMP')]","[(8, 23, 'DISE'), (40, 64, 'SYMP')]",1
This report describes a case of neuroleptic malignant syndrome due to risperidone in a child with Joubert syndrome.,"[('risperidone', 'DRUG'), ('neuroleptic malignant syndrome', 'DISE')]","[(70, 81, 'DRUG'), (32, 62, 'DISE')]",1
The spectrum of SKIN DISEASES in such patients encompasses DERMATOSES OF DIVERSE ETIOLOGIES; a few are peculiar to patients with HIV while others are not.,"[('SKIN DISEASES', 'DISE'), ('DERMATOSES OF DIVERSE ETIOLOGIES', 'DRUG')]","[(16, 29, 'DISE'), (59, 91, 'DRUG')]",0
"The steep rise in food allergy (FA) has evoked environmental factors involved in disease pathogenesis, including the gut microbiota, diet, and their metabolites.","[('food allergy', 'DISE'), ('diet', 'FOOD')]","[(18, 30, 'DISE'), (133, 137, 'FOOD')]",0
"In 1984, three patients died of severe hypoglycemia after receiving PENTAMIDINE ISETHIOTE to treat PNEUMOCYSTIS PNEUMONIA","[('PNEUMOCYSTIS PNEUMONIA', 'DISE'), ('PENTAMIDINE ISETHIOTE', 'DRUG')]","[(101, 128, 'DISE'), (68, 91, 'DRUG')]",2
"Head up tilt table testing, either alone or with a graded dose infusion of ISOPROTERENOL is a useful diagnostic test for identifying persons who are susceptible to VASOVAGAL SYNCOPE","[('VASOVAGAL SYNCOPE', 'DISE'), ('ISOPROTERENOL', 'DRUG')]","[(164, 188, 'DISE'), (75, 88, 'DRUG')]",0
"We report on three patients with acute schizophrenia, who developed severe akathisia during treatment with olanzapine (20-25 mg/d).","[('olanzapine', 'DRUG'), ('severe akathisia', 'DISE')]","[(107, 117, 'DRUG'), (68, 84, 'DISE')]",1
"Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.","[('rifampicin', 'DRUG'), ('anti-native DNA antibodies', 'DISE')]","[(92, 102, 'DRUG'), (29, 55, 'DISE')]",1
We report a case of glaucoma induced by doxetaxel therapy for metastatic breast cancer.,"[('doxetaxel', 'DRUG'), ('glaucoma', 'DISE')]","[(40, 49, 'DRUG'), (20, 28, 'DISE')]",1
The effectiveness and safety of ACE inhibitor and ANGIOTENSIN RECEPTOR BLOCKERS acutely in ADHF is unknown and possibly harmful.,"[('ADHF', 'DISE'), ('ANGIOTENSIN RECEPTOR BLOCKERS', 'DRUG')]","[(91, 95, 'DISE'), (50, 79, 'DRUG')]",2
We report a case of IgE-mediated hypersensitivity to lemon seed.,"[('IgE-mediated hypersensitivity', 'DISE'), ('lemon seed', 'FOOD')]","[(20, 49, 'DISE'), (53, 63, 'FOOD')]",0
We herein report this rare case of acute onset of nephrotic syndrome during interferon-alpha retreatment.,"[('interferon-alpha', 'DRUG'), ('nephrotic syndrome', 'DISE')]","[(76, 92, 'DRUG'), (50, 68, 'DISE')]",1
 Include all tRANS RETINOIC ACID In the therapy for APL In induction combined with multiple courses of post remission chemotherapy ('4+2' or arsenic trioxide) to eradicate minimal residual disease,"[('PL I', 'DISE'), ('RANS RETINOIC ACID I', 'DRUG')]","[(53, 57, 'DISE'), (14, 34, 'DRUG')]",2
"In acquired FANCONI SYNDROME adults present with the laboratory abnormalities of rel tubular acidosis (proximal type II), HYPOPHOSPHATEMIA and hypokalemia.","[('HYPOPHOSPHATEMIA', 'DISE'), ('FANCONI SYNDROME', 'SYMP')]","[(124, 140, 'DISE'), (12, 28, 'SYMP')]",1
"African Americans generally tend to have a high risk of dying from a STROKE, chiefly due to HIGH BLOOD PRESSURE and uncontrolled diabetes.","[('STROKE', 'DISE'), ('HIGH BLOOD PRESSURE', 'SYMP')]","[(69, 75, 'DISE'), (92, 111, 'SYMP')]",1
This report describes a case of bilateral ptosis induced by chloroquine.,"[('chloroquine', 'DRUG'), ('bilateral ptosis', 'DISE')]","[(60, 71, 'DRUG'), (32, 48, 'DISE')]",1
Hoppe JE: Comparison of erythromycin estolate and erythromycin ethylsuccite for treatment of PERTUSSIS: the ERYTHROMYCIN Study Group.,"[('PERTUSSIS', 'DISE'), ('ERYTHROMYCIN', 'DRUG')]","[(95, 104, 'DISE'), (110, 122, 'DRUG')]",2
WILSON DISEASE should be considered when TREMOR or another movement disorder develops in a person younger than 50 years.,"[('TREMOR', 'DISE'), ('WILSON DISEASE', 'SYMP')]","[(41, 47, 'DISE'), (0, 14, 'SYMP')]",1
"In the following case report, a patient developed acute interstitial nephritis with renal failure and exfoliative dermatitis following ampicillin therapy.","[('ampicillin', 'DRUG'), ('renal failure', 'DISE')]","[(135, 145, 'DRUG'), (84, 97, 'DISE')]",1
VZV-specific D was demonstrated in 15 lymphocyte preparations of nine patients with VARICELLA and in one with dissemited zoster out of five patients with ZOSTER,"[('VARICELLA', 'DISE'), ('ZOSTER', 'SYMP')]","[(86, 95, 'DISE'), (158, 172, 'SYMP')]",1
We report a 45-year-old psoriasis patient who developed eruptive mollusca contagiosa during an antipsoriatic treatment with efalizumab.,"[('efalizumab', 'DRUG'), ('eruptive mollusca contagiosa', 'DISE')]","[(124, 134, 'DRUG'), (56, 84, 'DISE')]",1
"In this article, we describe a Japanese patient with severe interstitial pneumonia probably caused by sorafenib treatment for metastatic renal cell carcinoma.","[('sorafenib', 'DRUG'), ('severe interstitial pneumonia', 'DISE')]","[(102, 111, 'DRUG'), (53, 82, 'DISE')]",1
"There are limited data available regarding relationships between bone fracture history and calcium intake, sugar sweetened beverages (SSBs) intake, vitamin D status, physical activity (PA), ethnicity, and body composition in New Zealand (NZ) children.","[('bone fracture', 'DISE'), ('sugar', 'FOOD')]","[(65, 78, 'DISE'), (107, 112, 'FOOD')]",0
The list of INGESTED SUBSTANCES said to cause ALLERGIC REACTIONS is seemingly endless.,"[('ALLERGIC REACTIONS', 'DISE'), ('INGESTED SUBSTANCES', 'SYMP')]","[(46, 64, 'DISE'), (12, 31, 'SYMP')]",1
"When the contrast medium was injected, first without and then with lignocaine, the PAIN was markedly reduced by LIGNOCAINE","[('PAIN', 'DISE'), ('LIGNOCAINE', 'DRUG')]","[(83, 87, 'DISE'), (112, 130, 'DRUG')]",2
"Hypoglycemia can be a serious side effect of etanercept in patients already on antidiabetic medications known to cause hypoglycemia, such as sulfonylureas, meglitinides, and insulin.","[('sulfonylureas', 'DRUG'), ('hypoglycemia', 'DISE')]","[(141, 154, 'DRUG'), (119, 131, 'DISE')]",1
